snapshotTime,open,high,low,close
2025:04:02-20:00:00,4078.5,4078.5,4053.5,4063.5
2025:04:02-21:00:00,4062.5,4070.5,4048.5,4055.0
2025:04:02-23:00:00,4058.0,4059.0,4011.0,4035.0
2025:04:03-00:00:00,4033.0,4038.5,4024.5,4031.5
2025:04:03-01:00:00,4030.5,4046.5,4017.5,4045.5
2025:04:03-02:00:00,4044.5,4046.5,4031.5,4036.5
2025:04:03-03:00:00,4037.5,4040.5,4030.5,4032.5
2025:04:03-04:00:00,4031.5,4041.5,4031.5,4036.5
2025:04:03-05:00:00,4035.5,4042.5,4035.5,4036.5
2025:04:03-06:00:00,4037.5,4048.5,4022.5,4046.5
2025:04:03-07:00:00,4044.5,4046.5,4026.5,4026.5
2025:04:03-08:00:00,4025.5,4067.5,4009.5,4063.5
2025:04:03-09:00:00,4062.5,4081.5,4057.5,4066.5
2025:04:03-10:00:00,4067.5,4098.5,4063.5,4096.5
2025:04:03-11:00:00,4095.5,4107.5,4084.5,4088.5
2025:04:03-12:00:00,4089.5,4178.5,4083.5,4157.5
2025:04:03-13:00:00,4156.5,4194.5,4144.5,4152.5
2025:04:03-14:00:00,4153.5,4239.5,4153.5,4223.5
2025:04:03-15:00:00,4222.5,4230.5,4158.5,4191.5
2025:04:03-16:00:00,4190.5,4207.5,4157.5,4171.5
2025:04:03-17:00:00,4170.5,4191.5,4156.5,4168.5
2025:04:03-18:00:00,4167.5,4183.5,4155.5,4176.5
2025:04:03-19:00:00,4175.5,4179.5,4122.5,4126.5
2025:04:03-20:00:00,4127.5,4161.5,4123.5,4158.5
2025:04:03-21:00:00,4157.5,4158.5,4141.5,4152.5
2025:04:03-23:00:00,4155.5,4163.5,4145.5,4162.5
2025:04:04-00:00:00,4163.5,4186.5,4163.5,4182.5
2025:04:04-01:00:00,4181.5,4188.5,4169.5,4169.5
2025:04:04-02:00:00,4170.5,4172.5,4155.5,4159.5
2025:04:04-03:00:00,4160.5,4162.5,4150.5,4152.5
2025:04:04-04:00:00,4151.5,4170.5,4151.5,4170.5
2025:04:04-05:00:00,4169.5,4175.5,4133.5,4151.5
2025:04:04-06:00:00,4152.5,4154.5,4138.5,4147.5
2025:04:04-07:00:00,4146.5,4165.5,4134.5,4137.5
2025:04:04-08:00:00,4136.5,4139.5,4107.5,4110.5
2025:04:04-09:00:00,4109.5,4127.5,4107.5,4121.5
2025:04:04-10:00:00,4122.5,4135.5,4118.5,4123.5
2025:04:04-11:00:00,4122.5,4164.5,4109.5,4151.5
2025:04:04-12:00:00,4152.5,4178.5,4065.5,4065.5
2025:04:04-13:00:00,4063.5,4092.5,3982.5,4020.5
2025:04:04-14:00:00,4021.5,4021.5,3889.5,3952.5
2025:04:04-15:00:00,3951.5,3956.5,3906.5,3919.5
2025:04:04-16:00:00,3918.5,3998.5,3916.5,3916.5
2025:04:04-17:00:00,3917.5,3921.5,3870.5,3900.5
2025:04:04-18:00:00,3899.5,3955.5,3868.5,3878.5
2025:04:04-19:00:00,3877.5,3905.5,3862.5,3870.5
2025:04:04-20:00:00,3871.5,3871.5,3850.5,3867.5
2025:04:04-21:00:00,3868.5,3872.5,3854.5,3858.5
